expt_name,subjectID,order,age,iswomen,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
dlpfc,10,1,25,0,1,129,10,3,80,60,67,83,60,63,62,86,68,82,69,88,2,1,2,2,2,1,1,1,2,1,,,,,0.2390282,0.2798103,0.2373933,0.192857,0.1725942,0.1725942
dlpfc,10,1,25,0,1,130,5,2,60,80,85,52,73,73,69,,,,,,2,1,2,1,2,,,,,,,,,,0.3543823,,,,,
dlpfc,10,1,25,0,1,131,5,2,20,40,13,37,7,40,43,,,,,,1,2,1,2,2,,,,,,,,,,0.1313615,,,,,
dlpfc,10,1,25,0,1,132,5,2,40,60,42,53,67,53,50,,,,,,1,1,2,2,2,,,,,,,,,,0.2136239,,,,,
dlpfc,10,1,25,0,1,133,5,2,40,32,39,24,31,36,52,,,,,,1,1,2,2,2,,,,,,,,,,1.8328382,,,,,
dlpfc,10,1,25,0,1,134,5,3,40,28,40,18,33,29,41,,,,,,1,2,2,2,1,,,,,,,,,,0.4095231,,,,,
dlpfc,10,1,25,0,1,135,10,2,52,60,49,47,46,59,49,67,57,43,64,40,1,2,1,2,1,2,2,1,2,2,,,,,0.2467843,0.2243205,0.3803433,0.291218168,0.461092125,0.295606283
dlpfc,10,1,25,0,1,136,5,2,40,36,37,31,44,42,40,,,,,,1,1,2,2,2,,,,,,,,,,0.4344187,,,,,
dlpfc,10,1,25,0,1,137,10,1,60,80,59,56,52,61,74,59,76,69,80,79,1,1,1,2,2,1,2,2,2,2,,,,,0.2899584,0.333692198,0.1423937,0.1393966,0.0513748,0.0513748
dlpfc,10,1,25,0,1,138,10,3,44,40,45,36,30,36,35,38,41,44,37,39,1,2,2,2,2,1,1,2,1,1,,,,,0.0815341,0.1353935,0.120578,0.1353548,1.492511045,1.841063546
dlpfc,10,1,25,0,1,139,10,1,60,40,53,51,61,57,49,41,44,65,76,66,1,2,1,1,1,2,2,1,1,1,,,,,0.2206444,0.2806972,0.1005915,0.494024058,0.415312416,0.242130805
dlpfc,10,1,25,0,1,140,10,1,60,56,54,58,62,53,53,51,46,67,74,57,2,1,1,1,1,2,2,1,2,1,,,,,0.1279161,0.1711135,0.229294977,0.2013903,0.0522025,0.0522025
dlpfc,10,1,25,0,1,141,5,2,80,60,72,89,60,81,80,,,,,,2,1,2,1,1,,,,,,,,,,0.1821723,,,,,
dlpfc,10,1,25,0,1,142,10,2,60,64,62,65,67,52,63,47,60,68,72,55,2,1,2,1,1,1,2,1,2,2,,,,,0.1249829,0.34691288,0.425376,0.2596475,0.5412531,0.5412531
dlpfc,10,1,25,0,1,143,10,2,52,60,57,60,74,53,49,60,46,56,74,56,1,2,2,1,1,2,2,1,1,1,,,,,0.2048381,0.6572452,0.2831513,0.5504017,0.2738174,0.2738174
dlpfc,10,1,25,0,1,144,5,2,60,68,62,58,53,60,66,,,,,,2,2,1,1,2,,,,,,,,,,0.4449103,,,,,
dlpfc,10,1,25,0,1,145,5,2,60,40,48,54,42,50,69,,,,,,2,1,2,1,1,,,,,,,,,,0.2134254,,,,,
dlpfc,10,1,25,0,1,146,5,2,36,40,41,39,39,43,43,,,,,,2,1,2,1,1,,,,,,,,,,1.1267815,,,,,
dlpfc,10,1,25,0,1,147,10,3,60,56,56,69,63,66,65,52,67,65,49,47,2,2,2,1,1,2,1,2,1,1,,,,,0.245379,0.330464,0.2885265,0.2461685,0.2694852,0.2694852
dlpfc,10,1,25,0,1,148,10,1,40,44,49,37,44,46,52,38,32,52,49,44,2,1,1,1,2,2,1,2,2,2,,,,,0.2326471,0.3022256,0.32404,0.2293725,0.2583945,0.2583945
dlpfc,10,1,25,0,1,149,10,1,40,44,46,62,52,43,34,47,31,35,32,44,1,2,1,1,1,2,2,1,1,2,,,,,0.2307584,0.2605907,0.2646029,0.3812408,0.226088,0.226088
dlpfc,10,1,25,0,1,150,5,1,56,60,56,39,66,51,60,,,,,,1,1,1,2,1,,,,,,,,,,0.3332567,,,,,
dlpfc,10,1,25,0,1,151,10,3,68,60,68,58,56,74,77,50,66,64,60,73,1,2,2,2,1,1,1,2,1,1,,,,,0.2971207,0.2149741,0.2667576,0.7416089,0.2405311,0.2405311
dlpfc,10,1,25,0,1,152,5,2,40,60,38,61,56,61,55,,,,,,1,2,1,2,2,,,,,,,,,,0.2408442,,,,,
dlpfc,10,1,25,0,1,153,5,2,56,60,63,56,63,52,53,,,,,,1,2,2,1,2,,,,,,,,,,0.4621727,,,,,
